    1.0000,    0.2351,   -0.0870,    0.0723,   -0.5238,   -1.0000,   -1.0000,    0.2394,
    1.0000,    0.4574,    0.2935,    0.1795,   -0.5833,   -1.0000,   -1.0000,    0.1596,
    1.0000,    0.2920,    0.1304,    0.0337,   -0.6429,   -1.0000,   -1.0000,    0.2394,
    1.0000,    0.2196,    0.1304,    0.0320,   -0.5238,   -1.0000,   -1.0000,    0.1862,
    1.0000,    0.2093,    0.0217,    0.0411,   -0.7024,   -1.0000,   -1.0000,    0.2128,
    1.0000,    0.8656,    0.6522,    0.5469,   -0.7619,   -1.0000,   -1.0000,    0.1596,
    1.0000,    0.9948,    0.8913,    0.5543,   -0.8810,   -1.0000,   -1.0000,    0.1330,
    1.0000,    0.9225,    0.8370,    0.5305,   -0.9405,   -1.0000,   -1.0000,    0.1330,
    1.0000,    1.0000,    0.9457,    0.5946,   -0.7619,   -1.0000,   -1.0000,    0.1330,
    1.0000,    0.6641,    0.5652,    0.2685,   -0.9405,   -1.0000,   -1.0000,    0.1596,
    1.0000,    0.6279,    0.3478,    0.1058,   -0.7619,   -1.0000,   -1.0000,    0.1596,
    1.0000,    0.4057,    0.2391,    0.1318,   -1.0000,   -1.0000,   -1.0000,    0.1330,
    1.0000,    0.7158,    0.1304,    0.2180,   -0.8214,   -1.0000,   -1.0000,    0.1596,
    1.0000,    1.0000,    0.9457,   -0.1647,   -0.7619,   -1.0000,   -1.0000,    0.1330,
   -0.6000,   -0.7674,   -0.4674,   -0.5696,   -0.1667,   -1.0000,    1.0000,    0.3989,
    0.2000,   -0.3282,   -0.4674,   -0.3082,   -0.1071,   -1.0000,   -1.0000,    0.3457,
    0.2000,   -0.3230,   -0.4457,   -0.3417,   -0.1071,   -1.0000,   -1.0000,    0.2394,
    0.2000,   -0.3178,   -0.5761,   -0.4477,   -0.0476,   -1.0000,   -1.0000,    0.3191,
   -0.6000,   -0.8501,   -0.5435,   -0.7068,   -0.2262,   -1.0000,    1.0000,    0.4787,
   -0.6000,   -0.8501,   -1.0000,   -0.8741,    0.4881,   -1.0000,    0.0000,    0.4521,
   -0.6000,   -0.7829,   -0.5543,   -0.3995,    0.1310,   -1.0000,    0.0000,    0.4255,
   -0.6000,   -0.7984,   -0.5217,   -0.5367,   -0.2262,   -1.0000,    0.0000,    0.3989,
   -0.6000,   -0.8140,   -0.4674,   -0.5679,    0.1310,   -1.0000,    0.0000,    0.4255,
   -0.6000,   -0.7261,   -0.2717,   -0.6479,   -0.4643,   -1.0000,    0.0000,    0.4521,
