    0.1844,    0.1027,   -0.1064,    0.1881,    0.2586,    0.4651,
   -0.0390,   -0.1351,    0.1915,   -0.2277,    0.3362,    0.5581,
    0.3870,   -0.2324,   -0.1489,   -0.1089,    0.4397,    0.4419,
    0.3195,   -0.1568,   -0.2766,    0.2871,    0.2155,    0.4419,
   -0.3143,   -0.0378,   -0.3191,    0.0099,    0.2069,    0.5349,
   -0.2987,   -0.0270,   -0.3191,   -0.2673,    0.3448,    0.5116,
    0.3610,    0.1243,   -0.0213,   -0.4455,    0.4138,    0.4651,
    0.3974,    0.0270,    0.0638,   -0.1683,    0.2845,    0.4651,
   -0.1169,   -0.0811,   -0.1064,   -0.2871,    0.3017,    0.5116,
    0.2935,   -0.0378,   -0.1915,   -0.2277,    0.3362,    0.5116,
    0.3818,   -0.0378,   -0.1489,    0.0297,    0.3276,    0.4651,
    0.3714,   -0.0270,   -0.1489,    0.1881,    0.2586,    0.4651,
   -0.2675,   -0.1568,   -0.2340,    0.0693,    0.1983,    0.5349,
    0.2987,    0.1243,   -0.4043,   -0.1485,    0.3707,    0.4419,
   -0.0909,   -0.1243,   -0.1915,   -0.2673,    0.2931,    0.5116,
    0.3091,   -0.0054,   -0.3617,   -0.0297,    0.3017,    0.4651,
    0.3091,   -0.1243,   -0.4043,    0.1881,    0.3621,    0.4419,
   -0.1636,   -0.2108,   -0.0638,    0.1485,    0.2241,    0.5349,
    0.3247,   -0.1892,   -0.6170,    0.0891,    0.4138,    0.4651,
    0.3870,    0.0162,   -0.5319,    0.2475,    0.3276,    0.4419,
   -0.2000,   -0.0919,   -0.0213,    0.2871,    0.1983,    0.5116,
   -0.2364,   -0.0811,   -0.0213,    0.0891,    0.2759,    0.5116,
    0.3039,   -0.2108,   -0.4468,   -0.1287,    0.4052,    0.4419,
   -0.1844,   -0.0162,   -0.2766,   -0.2871,    0.2672,    0.5349,
    0.4286,   -0.1459,   -0.3191,   -0.0099,    0.3276,    0.4419,
    0.3299,   -0.0378,   -0.2766,    0.2079,    0.1466,    0.5116,
   -0.1169,   -0.0811,   -0.2766,    0.2871,    0.1207,    0.5116,
   -0.2675,   -0.1568,   -0.3617,    0.1089,    0.1724,    0.5349,
    0.3558,   -0.0919,   -0.5319,   -0.0495,    0.3276,    0.4651,
    0.2416,    0.0378,   -0.4043,    0.1881,    0.1983,    0.4419,
   -0.2571,    0.0703,   -0.1489,    0.0891,    0.1466,    0.5116,
   -0.2727,   -0.2541,   -0.2766,   -0.2079,    0.3793,    0.5349,
    0.4286,    0.0486,   -0.6170,   -0.0891,    0.3621,    0.4651,
    0.3091,    0.0811,   -0.4468,    0.2079,    0.1810,    0.4419,
   -0.3766,    0.0054,   -0.1489,   -0.1881,    0.2069,    0.5581,
   -0.1636,   -0.1784,   -0.2340,   -0.5644,    0.5000,    0.5116,
    0.3766,   -0.1784,   -0.4468,   -0.5248,    0.4828,    0.4651,
    0.5377,   -0.1568,   -0.5745,   -0.0891,    0.3190,    0.4651,
    0.4338,   -0.0270,   -0.4894,    0.2475,    0.1724,    0.4651,
   -0.3039,   -0.0162,   -0.2766,    0.1089,    0.2069,    0.5116,
    0.3403,   -0.0595,   -0.2340,   -0.4455,    0.4310,    0.4651,
   -0.1532,   -0.1135,   -0.2766,   -0.2277,    0.2500,    0.5116,
   -0.2208,    0.0054,   -0.3617,   -0.2871,    0.2500,    0.5349,
    0.4961,   -0.0486,   -0.3191,   -0.1089,    0.3621,    0.4651,
    0.3610,   -0.0162,   -0.2340,    0.2871,    0.1724,    0.4651,
   -0.1065,   -0.0054,   -0.1064,    0.3663,    0.1466,    0.5116,
   -0.2364,   -0.0162,   -0.0213,    0.0297,    0.2672,    0.5116,
   -0.1013,   -0.2216,   -0.0213,   -0.2475,    0.3966,    0.5116,
