0     0    0.0040311
0     1     0.049109
0     2      0.22009
0     3      0.36287
0     4      0.22009
1     0      0.01152
1     1      0.14034
1     2      0.62895
1     3        1.037
1     4      0.62895
2     0     0.024387
2     1      0.29709
2     2       1.3315
2     3       2.1952
2     4       1.3315
3     0     0.038246
3     1      0.46594
3     2       2.0882
3     3       3.4428
3     4       2.0882
4     0     0.044436
4     1      0.54134
4     2       2.4261
4     3            4
4     4       2.4261
